,sqft,beds,baths,lot_size,year_built,address,Bronx,Brooklyn,Manhattan,New York,Queens,Staten Island,Condo,Land,Multi-Family Home,Single Family Home,sale_price
111,1410.0,3.0,2.5,2300.0,2002.0,22 Knight Loop,0,0,0,0,0,1,0,0,0,1,580000.0
112,3200.0,3.0,2.5,4500.0,1973.0,37 Escanaba Ave,0,0,0,0,0,1,0,0,0,1,839000.0
113,2080.0,3.0,2.0,3600.0,2017.0,40 Seafoam St,0,0,0,0,0,1,0,0,0,1,657000.0
114,5648.0,10.0,10.0,1839.0,1895.0,306 W 78th St,0,0,1,0,0,0,0,0,1,0,5600000.0
115,2400.0,4.0,2.0,4320.0,1965.0,205 Steinway Ave,0,0,0,0,0,1,0,0,0,1,750000.0
116,2771.0,8.0,5.0,2030.0,2001.0,95 Bay 38th St,0,1,0,0,0,0,0,0,1,0,1590000.0
117,560.0,3.0,1.0,2506.0,1920.0,13 Homer St,0,0,0,0,0,1,0,0,0,1,349013.0
118,1694.0,3.0,2.5,2080.0,1960.0,2432 Gerritsen Ave,0,1,0,0,0,0,0,0,0,1,735000.0
119,1680.0,3.0,1.0,2787.0,1830.0,276 Winthrop St,0,1,0,0,0,0,0,0,0,1,1080000.0
120,1680.0,6.0,3.0,2614.0,1925.0,55-11 39th Ave,0,0,0,1,0,0,0,0,1,0,940000.0
121,1152.0,4.0,3.0,4185.0,1940.0,220 Vanderbilt Ave,0,0,0,0,0,1,0,0,0,1,500000.0
122,2812.0,4.0,5.0,1520.0,1841.0,73 Gold St,0,1,0,0,0,0,0,0,1,0,4050000.0
123,1540.0,3.0,2.5,2975.0,1985.0,448 Clifton Ave,0,0,0,0,0,1,0,0,0,1,645000.0
124,1584.0,3.0,3.0,3325.0,1925.0,34 Cornell St,0,0,0,0,0,1,0,0,0,1,585000.0
125,3396.0,4.0,3.5,6949.0,2004.0,22 Dawn Ct,0,0,0,0,0,1,0,0,0,1,660000.0
126,2544.0,3.0,2.0,4000.0,1973.0,16 Rockville Ave,0,0,0,0,0,1,0,0,0,1,899000.0
127,1480.0,3.0,3.5,2400.0,2001.0,255 Graves St,0,0,0,0,0,1,0,0,0,1,665000.0
128,2562.0,7.0,2.0,1897.0,1925.0,8125 6th Ave,0,1,0,0,0,0,0,0,1,0,1455000.0
129,2062.0,4.0,2.5,3895.0,1978.0,88 Berry Ave,0,0,0,0,0,1,0,0,0,1,720000.0
130,2352.0,4.0,2.5,2000.0,1925.0,6512 17th Ave,0,1,0,0,0,0,0,0,0,1,1040000.0
131,3100.0,3.0,2.5,3750.0,2019.0,522 Clermont Ave,0,0,0,0,0,1,0,0,0,1,890000.0
132,1200.0,3.0,2.5,2000.0,2016.0,84 Livingston Ave,0,0,0,0,0,1,0,0,0,1,640000.0
133,2504.0,5.0,3.0,4000.0,1965.0,1051 Willowbrook Rd,0,0,0,0,0,1,0,0,0,1,799000.0
134,1711.0,3.0,2.0,2233.0,1935.0,143 E 89th St,0,1,0,0,0,0,0,0,1,0,650000.0
135,1008.0,3.0,2.0,4200.0,1965.0,354 Virginia Ave,0,0,0,0,0,1,0,0,0,1,535000.0
136,1816.0,3.0,3.0,1997.0,1930.0,2610 Harway Ave,0,1,0,0,0,0,0,0,1,0,947000.0
137,1971.0,4.0,2.0,3800.0,1974.0,397 Robinson Ave,0,0,0,0,0,1,0,0,0,1,710000.0
138,1056.0,3.0,2.0,4000.0,1955.0,204 Amber St,0,0,0,0,0,1,0,0,0,1,730000.0
139,1480.0,3.0,2.0,3975.0,1989.0,26 Peggy Ln,0,0,0,0,0,1,0,0,0,1,585000.0
140,1450.0,3.0,1.5,2442.0,1965.0,465 Beach Rd,0,0,0,0,0,1,0,0,0,1,610000.0
141,2376.0,5.0,3.5,4769.0,2020.0,555 Woodrow Rd,0,0,0,0,0,1,0,0,0,1,975000.0
142,1280.0,3.0,2.5,2000.0,1920.0,2655 E 27th St,0,1,0,0,0,0,0,0,0,1,628000.0
143,1200.0,4.0,2.0,5110.0,1955.0,90 Shirley Ave,0,0,0,0,0,1,0,0,0,1,530000.0
144,1200.0,3.0,1.5,2500.0,1970.0,173 Winham Ave,0,0,0,0,0,1,0,0,0,1,625000.0
145,1400.0,3.0,2.0,3000.0,1932.0,90 Ontario Ave,0,0,0,0,0,1,0,0,0,1,495000.0
146,1584.0,2.0,3.0,2250.0,1987.0,145 Seaview Ave,0,0,0,0,0,1,0,0,1,0,590000.0
147,800.0,2.0,1.0,3125.0,1920.0,22 Rosebank Pl,0,0,0,0,0,1,0,0,0,1,345000.0
148,1472.0,3.0,1.0,3049.0,1930.0,10727 219th St,0,0,0,1,0,0,0,0,0,1,575000.0
149,530.0,4.0,2.0,2178.0,1915.0,76-36 85th Dr,0,0,0,1,0,0,0,0,1,0,780000.0
150,2047.0,3.0,2.0,3920.0,1935.0,150-24 20th Rd,0,0,0,1,0,0,0,0,0,1,1065000.0
151,1303.0,3.0,2.0,4792.0,1950.0,22-14 201 St,0,0,0,0,1,0,0,0,0,1,850000.0
152,1188.0,3.0,1.5,1530.0,1983.0,40 Hemlock Ct,0,0,0,0,0,1,1,0,0,0,450000.0
153,2500.0,3.0,2.5,3750.0,2006.0,575 Yetman Ave,0,0,0,0,0,1,0,0,0,1,995000.0
154,1648.0,0.0,0.0,1580.0,1996.0,262 Edgewater St,0,0,0,0,0,1,0,0,1,0,575000.0
155,2729.0,5.0,1.0,3600.0,1910.0,203 College Ave,0,0,0,0,0,1,0,0,0,1,630000.0
156,1720.0,3.0,2.5,2450.0,1986.0,724 Olympia Blvd,0,0,0,0,0,1,0,0,0,1,680000.0
157,1676.0,3.0,2.5,2167.0,2013.0,36 Persimmon Ln,0,0,0,0,0,1,0,0,0,1,699000.0
158,1728.0,4.0,2.5,2000.0,2012.0,221 Norway Ave,0,0,0,0,0,1,1,0,0,0,650000.0
159,3163.0,4.0,4.0,1667.0,1899.0,507 Hicks St,0,1,0,0,0,0,0,0,1,0,2554000.0
160,1200.0,3.0,2.0,2000.0,1920.0,1767 Hendrickson St,0,1,0,0,0,0,0,0,0,1,725000.0
161,2072.0,4.0,3.5,4000.0,1970.0,53 Dewhurst St,0,0,0,0,0,1,0,0,0,1,1150000.0
162,1433.0,4.0,2.0,4400.0,1950.0,730 Bard Ave,0,0,0,0,0,1,0,0,0,1,627000.0
163,780.0,2.0,2.0,3720.0,1975.0,21 Sweetwater Ave,0,0,0,0,0,1,0,0,0,1,390000.0
164,1552.0,1.0,1.0,25264.8232,1925.0,40 Macfarland Ave,0,0,0,0,0,1,0,0,0,1,365000.0
165,1530.0,4.0,2.0,2000.0,1920.0,2311 E 14th St,0,1,0,0,0,0,0,0,0,1,825000.0
166,1825.0,4.0,2.0,4888.0,1960.0,260 Combs Ave,0,0,0,0,0,1,0,0,0,1,770000.0
167,2304.0,6.0,4.0,3528.0,1995.0,16740 146th Ave,0,0,0,0,1,0,0,0,1,0,850000.0
168,1144.0,3.0,2.5,33105.6304,1910.0,266 Guyon Ave,0,0,0,0,0,1,0,0,0,1,680000.0
169,936.0,3.0,1.5,3549.0,1955.0,69 Andros Ave,0,0,0,0,0,1,0,0,0,1,425000.0
170,3395.0,6.0,4.0,7000.0,1899.0,300 Bard Ave,0,0,0,0,0,1,0,0,0,1,840000.0
171,4080.0,4.0,3.5,9120.0,2020.0,116 Bayview Ave,0,0,0,0,0,1,0,0,0,1,1400000.0
