,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
187,1500.0,3.0,3.0,2700.0,1980.0,330 Green Valley Rd,Single Family Home,Arden Heights,Staten Island,660000.0
188,1600.0,3.0,2.5,3750.0,1995.0,14 Wolcott Ave,Single Family Home,Annadale,Staten Island,660000.0
189,2916.0,3.0,2.5,4200.0,1975.0,15 Elwood Ave,Single Family Home,New Springville,Staten Island,890000.0
190,2800.0,3.0,2.5,4400.0,1975.0,1 Villanova St,Single Family Home,New Springville,Staten Island,940000.0
191,2200.0,4.0,3.0,5000.0,1950.0,196 Lindenwood Rd,Single Family Home,Great Kills,Staten Island,788000.0
192,1600.0,3.0,2.5,2825.0,2000.0,34 Amy Ln,Single Family Home,New Springville,Staten Island,649000.0
193,2270.0,4.0,3.5,3450.0,2005.0,125 Arbutus Ave,Single Family Home,Huguenot,Staten Island,875000.0
194,2012.0,5.0,2.0,12632.4116,1915.0,22 Meadow Ave,Single Family Home,Concord,Staten Island,850000.0
195,1536.0,3.0,1.5,3000.0,1980.0,382 Jefferson Ave,Single Family Home,Midland Beach,Staten Island,580000.0
196,1583.0,3.0,1.5,3690.0,1925.0,272 Van Pelt Ave,Single Family Home,Mariners Harbor,Staten Island,470000.0
197,1060.0,3.0,1.5,1373.0,1991.0,34 Houston Ln,Condo,Westerleigh,Staten Island,461000.0
198,1584.0,2.0,2.5,1600.0,1940.0,2182 E 28th St,Single Family Home,Sheepshead Bay,Brooklyn,770000.0
199,1660.0,3.0,2.5,2000.0,2004.0,327 Colony Ave,Single Family Home,Midland Beach,Staten Island,599000.0
200,1200.0,3.0,2.5,2500.0,1965.0,38 Ainsworth Ave,Single Family Home,Great Kills,Staten Island,625000.0
201,2760.0,5.0,4.5,3000.0,1960.0,2024 E 54th St,Multi-Family Home,Mill Basin,Brooklyn,995000.0
202,1510.0,3.0,2.5,3264.0,1925.0,22 Josephine St,Single Family Home,Westerleigh,Staten Island,690000.0
203,1680.0,3.0,2.5,3500.0,2003.0,7 Hank Pl,Single Family Home,Prince's Bay,Staten Island,730000.0
204,1810.0,3.0,3.5,2614.0,1940.0,140-38 69 Ave,Multi-Family Home,Kew Gardens Hills,Queens,1300000.0
205,2400.0,3.0,3.0,3920.0,1950.0,70-12 171 St,Single Family Home,Hillcrest,Queens,960000.0
206,1833.0,4.0,2.5,4356.0,1960.0,216-28 28th Rd,Single Family Home,Bayside,New York,1130000.0
207,4080.0,0.0,2.0,3414.0,1930.0,1531 E 7th St,Multi-Family Home,Midwood,Brooklyn,2160000.0
208,2236.0,5.0,2.0,3920.0,1950.0,159-43 98th St,Multi-Family Home,Howard Beach,New York,900000.0
209,2736.0,4.0,2.5,4485.0,2001.0,454 Main St,Single Family Home,Tottenville,Staten Island,990000.0
210,1550.0,3.0,2.5,2500.0,1997.0,332 Mason Blvd,Single Family Home,Rossville,Staten Island,675000.0
211,1316.0,3.0,2.0,2040.0,1920.0,1737 W 2nd St,Single Family Home,Gravesend,Brooklyn,929000.0
212,1440.0,3.0,1.5,3588.0,1996.0,70 Salamander Ct,Single Family Home,Woodrow,Staten Island,540000.0
213,2546.0,4.0,2.5,4800.0,1985.0,99 Ramapo Ave,Single Family Home,Woodrow,Staten Island,820000.0
214,2012.0,3.0,3.5,1868.0,1983.0,8 Green Valley Rd,Single Family Home,Huguenot,Staten Island,660000.0
215,1950.0,3.0,2.0,2441.0,1925.0,293 Bay 8 St,Multi-Family Home,Bath Beach,Brooklyn,965000.0
216,1024.0,3.0,1.5,1800.0,1925.0,1452 E 53rd St,Single Family Home,Flatlands,Brooklyn,580000.0
217,1150.0,2.0,1.5,1350.0,1986.0,299 Lamberts Ln,Condo,Bulls Head,Staten Island,470000.0
218,1960.0,6.0,3.0,2500.0,1930.0,1458 84th St,Single Family Home,Bensonhurst,Brooklyn,1225000.0
219,3300.0,10.0,3.5,2000.0,1920.0,680 Onderdonk Ave,Multi-Family Home,Ridgewood,New York,998000.0
220,1496.0,3.0,1.5,4558.0,1940.0,2058 Brown St,Single Family Home,Sheepshead Bay,Brooklyn,760000.0
221,1300.0,3.0,3.5,1092.0,2005.0,76 Dartmouth Loop,Condo,New Dorp Beach,Staten Island,675000.0
222,1950.0,4.0,2.0,1950.0,1955.0,1517 85th St,Multi-Family Home,Bensonhurst,Brooklyn,1115000.0
223,1296.0,2.0,1.0,1960.0,2002.0,410 Raritan Ave,Single Family Home,Dongan Hills,Staten Island,565000.0
224,2400.0,5.0,3.0,3175.0,1920.0,2748 E 21st St,Single Family Home,Sheepshead Bay,Brooklyn,875000.0
225,1336.0,4.0,2.5,4000.0,1970.0,44 E Stroud Ave,Single Family Home,Great Kills,Staten Island,720000.0
226,3500.0,4.0,3.5,5973.0,2020.0,34 Sycamore St,Single Family Home,Great Kills,Staten Island,1189000.0
227,1356.0,3.0,1.5,4356.0,1930.0,149-18 10th Ave,Single Family Home,Whitestone,New York,730000.0
228,1400.0,3.0,1.5,2178.0,1931.0,77-04 87th St,Single Family Home,Glendale,Queens,780000.0
229,1100.0,3.0,1.0,1742.0,1930.0,198-25 33 Ave,Single Family Home,Auburndale,Queens,678000.0
230,1520.0,3.0,1.5,3049.0,1960.0,61-40 Bell Blvd,Single Family Home,Bayside,New York,999000.0
231,1696.0,3.0,3.0,2614.0,1920.0,139-10 Whitelaw St,Multi-Family Home,Ozone Park,New York,830000.0
232,4560.0,4.0,3.5,10454.4096,1988.0,15 Haywood St,Single Family Home,Tottenville,Staten Island,1315000.0
233,2700.0,5.0,3.5,4085.0,1997.0,27 Savo Loop,Single Family Home,Pleasant Plains,Staten Island,865000.0
234,1176.0,3.0,1.5,2400.0,1997.0,157 Oakdale St,Single Family Home,Great Kills,Staten Island,649000.0
235,2594.0,4.0,2.0,3510.0,1899.0,481 Clove Rd,Single Family Home,West Brighton,Staten Island,650000.0
236,1504.0,3.0,2.5,1938.0,1986.0,245 Corona Ave,Single Family Home,Great Kills,Staten Island,582999.0
237,728.0,2.0,2.5,4000.0,1955.0,112 Lindbergh Ave,Single Family Home,New Dorp,Staten Island,600000.0
238,1176.0,3.0,1.5,2415.0,1970.0,92 Bay Ter,Single Family Home,Bay Terrace,Staten Island,496000.0
239,4600.0,6.0,4.0,9800.0,2001.0,300 Koch Blvd,Single Family Home,Annadale,Staten Island,1575000.0
240,1904.0,3.0,1.5,2860.0,1986.0,420 N Railroad Ave,Single Family Home,Dongan Hills,Staten Island,573000.0
241,1800.0,4.0,4.0,2500.0,1930.0,2606 Voorhies Ave,Single Family Home,Sheepshead Bay,Brooklyn,1100000.0
242,1631.0,3.0,3.0,2132.0,1945.0,245 Bay 20 St,Multi-Family Home,Bath Beach,Brooklyn,960000.0
243,1912.0,4.0,2.5,2500.0,1989.0,45 Marne Ave,Single Family Home,Eltingville,Staten Island,630000.0
244,912.0,5.0,3.0,3600.0,1920.0,67 Beacon Ct,Single Family Home,Gerritsen Beach,Brooklyn,740000.0
245,1355.0,3.0,2.0,1800.0,1920.0,1114 78th St,Single Family Home,Dyker Heights,Brooklyn,1041500.0
246,1350.0,3.0,1.5,1170.0,1996.0,35 Eden Ct,Condo,Tottenville,Staten Island,470000.0
247,1785.0,3.0,3.0,1750.0,1930.0,1960 E 29th St,Single Family Home,Sheepshead Bay,Brooklyn,823000.0
248,1472.0,4.0,2.0,7315.0,1899.0,21 Knesel St,Single Family Home,Rossville,Staten Island,405000.0
249,3027.0,7.0,4.0,2500.0,1924.0,1858 Bay Ridge Ave,Multi-Family Home,Bensonhurst,Brooklyn,1450000.0
250,1000.0,4.0,3.0,3818.0,1989.0,27 White Plains Ave,Single Family Home,Rosebank,Staten Island,730000.0
251,1408.0,3.0,1.5,1742.0,1960.0,25-30 College Point Blvd,Condo,College Point,Queens,660000.0
252,1560.0,4.0,1.5,3049.0,1930.0,93-19 215th Pl,Single Family Home,Queens Village,New York,565000.0
