,sqft,beds,baths,lot_size,year_built,address,property_type,neighborhood,borough,sale_price
140,1220.0,3.0,2.0,1914.0,1960.0,112 S Railroad Ave,Single Family Home,Dongan Hills,Staten Island,539000.0
141,1184.0,3.0,1.0,1742.0,1945.0,66-14 Booth St,Single Family Home,Rego Park,Queens,845000.0
142,3040.0,5.0,3.0,,1910.0,684 E 17th St,Single Family Home,Flatbush,Brooklyn,1998000.0
143,539.0,0.0,1.0,,1984.0,400 E 70th St Apt 1105,,Upper East Side,Manhattan,675000.0
144,1363.0,2.0,2.0,,2005.0,450 E 83rd St Apt 4K,,Upper East Side,Manhattan,1650000.0
145,2750.0,4.0,3.0,,1899.0,538 Macdonough St,Multi-Family Home,Bedford-Stuyvesant,Brooklyn,1625000.0
146,1002.0,2.0,2.0,,,2131 Ocean Ave Apt 4B,,Sheepshead Bay,Brooklyn,665000.0
147,1020.0,2.0,1.0,,1940.0,73-12 35th Ave Unit C62,,Jackson Heights,Queens,635000.0
148,750.0,1.0,1.0,,1924.0,416 Ocean Ave Apt 30,,Flatbush,Brooklyn,545000.0
149,1230.0,3.0,1.5,2333.0,1960.0,176 Macfarland Ave,Single Family Home,South Beach,Staten Island,604888.0
150,2880.0,,2.0,2000.0,1910.0,457 58th St,Multi-Family Home,Sunset Park,Brooklyn,1400000.0
151,1620.0,4.0,2.5,2000.0,1930.0,122 Avenue N,Single Family Home,Midwood,Brooklyn,775000.0
152,950.0,3.0,1.0,,1950.0,17-78 166 St Unit Upper,,Clearview,Queens,428000.0
153,475.0,0.0,1.0,,1950.0,70 Park Ter E Apt 5A,,Inwood,Manhattan,219000.0
154,1000.0,2.0,1.0,,1888.0,250 Mercer St Apt C414,,Greenwich Village,Manhattan,1195000.0
155,565.0,1.0,1.0,,1920.0,2080 77th St Apt B3,,Bensonhurst,Brooklyn,400000.0
156,5000.0,3.0,4.5,9300.0,2020.0,101 Manee Ave,Single Family Home,Princes Bay,Staten Island,1500000.0
157,1875.0,1.0,2.5,,1886.0,158 Franklin St Fl 2,,Tribeca,Manhattan,3520000.0
158,3708.0,5.0,5.5,,1915.0,71 Laight St Apt 2C,,New Dorp,Staten Island,9375000.0
159,1360.0,2.0,2.0,,2006.0,444 W 19th St Unit 4W,,Chelsea,Manhattan,2100000.0
160,3260.0,3.0,2.5,14810.413600000002,1935.0,25 Carlton Pl,Single Family Home,Emerson Hill,Staten Island,1400000.0
161,1000.0,1.0,1.0,,1910.0,790 Riverside Dr Apt 3F,,Washington Heights,Manhattan,650000.0
162,1177.0,2.0,2.0,,2005.0,350 W 53rd St Unit TH-C,,Hell's Kitchen,Manhattan,1645000.0
163,,1.0,1.0,,1940.0,221 E 18th St Apt 4A,,Flatbush,Brooklyn,560000.0
164,1349.0,2.0,2.0,,1950.0,200 E 66th St Apt C702,,Upper East Side,Manhattan,2125000.0
165,,1.0,,,2003.0,53 Boerum Pl Apt 8K,,Boerum Hill,Brooklyn,
166,754.0,3.0,1.0,,1949.0,247-78 77th Cres Unit 1ST,,Glen Oaks,New York,350000.0
167,1860.0,3.0,2.5,,2001.0,220 Riverside Blvd Apt 17J,,Upper West Side,Manhattan,2750000.0
168,780.0,1.0,1.0,,,2465 Haring St Apt 1K,,Sheepshead Bay,Brooklyn,200000.0
169,,,3.0,2000.0,1955.0,2817 Avenue Z,Multi-Family Home,Sheepshead Bay,Brooklyn,950000.0
170,,3.0,1.5,,1950.0,21-15 34th Ave Unit 12D,,Astoria,New York,599000.0
171,832.0,2.0,2.0,,2010.0,145 Kenilworth Pl Unit 2B,,Flatbush,Brooklyn,560000.0
172,4108.0,8.0,3.0,,1989.0,648 New York Ave,Multi-Family Home,Flatbush,Brooklyn,1455000.0
173,,1.0,1.0,,1928.0,179 E 79th St Apt 1D,,Upper East Side,Manhattan,600000.0
174,2914.0,4.0,4.0,,1911.0,90 Morton St Apt 4B,,West Village,Manhattan,7850000.0
175,1040.0,2.0,2.0,,1989.0,1076 E 73rd St Unit 87,,Bergen Beach,Brooklyn,390000.0
176,,1.0,1.0,,1938.0,251 Seaman Ave Apt 1A,,Inwood,Manhattan,373500.0
177,,3.0,2.0,,1910.0,317 W 93rd St Apt 2A,,Upper West Side,Manhattan,1295000.0
178,,0.0,1.0,,1900.0,838 Greenwich St Apt 3A,,West Village,Manhattan,515000.0
179,1408.0,,,2310.0,1970.0,2100 Victory Blvd,Multi-Family Home,Westerleigh,Staten Island,
180,1520.0,,,3045.0,1970.0,2104 Victory Blvd,Multi-Family Home,Westerleigh,Staten Island,
181,,1.0,1.0,,1930.0,201 W 16th St Apt 4B,,Chelsea,Manhattan,1150000.0
182,2256.0,4.0,3.5,4000.0,2020.0,246 Crown Ave,Single Family Home,Annadale,Staten Island,979999.0
183,1701.0,2.0,1.0,2614.0,1955.0,66-53 Alderton St,Single Family Home,Rego Park,New York,770000.0
184,1376.0,4.0,2.0,8480.0,1910.0,1598 Richmond Ave,Single Family Home,Bulls Head,Staten Island,715000.0
185,2160.0,3.0,3.5,2520.0,2001.0,70 Ambassador Ln,Single Family Home,Woodrow,Staten Island,670000.0
186,,,0.0,4300.0,,Rockland Ave,Land,Mid-Island,Staten Island,
187,1269.0,2.0,1.0,,2007.0,759 41st St Unit 8,,Sunset Park,Brooklyn,729000.0
188,1400.0,3.0,2.5,1900.0,1999.0,137 Grimsby St,Single Family Home,Midland Beach,Staten Island,400000.0
189,,1.0,1.0,,1960.0,185 Park Row Apt 15D,,Civic Center,New York,600000.0
190,3050.0,4.0,3.5,,1922.0,505 W End Ave Apt 11C,,Upper West Side,Manhattan,4499500.0
191,1224.0,3.0,2.0,1800.0,1930.0,2045 Ford St,Single Family Home,Sheepshead Bay,Brooklyn,725000.0
192,,2.0,2.5,,1966.0,137 E 36th St Unit 17F,,Murray Hill,Manhattan,1200000.0
193,1150.0,2.0,2.0,5.64,1985.0,15-09 Jordan Ct Unit 3RD,,Bayside,New York,687500.0
194,,2.0,1.0,,1955.0,69-25 210 St Unit A,,Bayside,New York,343000.0
195,,3.0,2.5,,1968.0,215-31 23 Ave,Condo,Bayside,New York,420000.0
196,,2.0,2.0,1742.0,1940.0,25-47 48th St,Multi-Family Home,Astoria,New York,960000.0
197,,1.0,1.0,,1958.0,195 Willoughby Ave Apt 308,,Clinton Hill,Brooklyn,525000.0
198,730.0,2.0,1.0,,1952.0,212-12 73rd Ave Unit 4E,,Bayside,New York,335000.0
199,1584.0,3.0,1.0,2700.0,1925.0,436 Clove Rd,Single Family Home,West Brighton,Staten Island,500000.0
200,1900.0,4.0,2.0,1742.0,1899.0,687 Madison St,Multi-Family Home,Bedford-Stuyvesant,Brooklyn,1275000.0
201,1131.0,2.0,2.0,,2006.0,517 W 46th St Apt 601,,New Dorp,Staten Island,1299000.0
